Run Measured Depth (m),Rotating On Bottom (kips),Rotating Off Bottom (kips),Unnamed: 3,Unnamed: 4
1900,141.4,143.9,,2.5
1905,141.7,144.2,,2.5
1910,141.9,144.4,,2.5
1915,142.1,144.7,,2.5999999999999943
1920,142.70000000000002,144.9,,2.1999999999999886
1925,142.2,145.2,,3.0
1930,141.4,145.4,,4.0
1935,141.7,145.7,,4.0
1940,143.4,145.9,,2.5
1945,143.2,146.2,,3.0
1950,142.94,146.4,,3.460000000000008
1955,144.7,146.7,,2.0
1960,143.6,146.9,,3.3000000000000114
1965,143.5,147.2,,3.6999999999999886
1970,143.9,147.4,,3.5
1975,143.5,147.7,,4.199999999999989
1980,143.9,147.9,,4.0
1985,144.2,148.2,,4.0
1990,144.20000000000002,148.4,,4.199999999999989
1995,143.20000000000002,148.8,,5.599999999999994
2000,143.6,149.0,,5.4
2005,141.5,149.3,,7.8
2010,144.9,149.5,,4.599999999999994
2015,144.70000000000002,149.9,,5.199999999999989
2020,145.1,150.1,,5.0
2025,145.4,150.4,,5.0
2030,144.0,150.7,,6.699999999999989
2035,146.4,151.0,,4.599999999999994
2040,147.2,151.2,,4.0
2045,147.1,151.6,,4.5
2050,146.5,151.8,,5.300000000000011
2055,146.7,152.2,,5.5
2060,146.9,152.4,,5.5
2065,145.4,152.8,,7.400000000000006
2070,149.3,153.0,,3.6999999999999886
2075,148.70000000000002,153.4,,4.699999999999989
2080,146.6,153.6,,7.0
2085,149.0,154.0,,5.0
2090,149.8,154.3,,4.5
2095,150.1,154.6,,4.5
2100,148.3,154.9,,6.599999999999994
2105,147.3,155.3,,8.0
2110,149.0,155.5,,6.5
2115,149.6,155.9,,6.300000000000011
2120,148.7,156.2,,7.5
2125,148.9,156.6,,7.699999999999989
2130,151.4,156.9,,5.5
2135,151.7,157.2,,5.5
2140,151.7,157.5,,5.800000000000011
2145,151.9,157.9,,6.0
2150,152.1,158.2,,6.099999999999994
2155,152.0,158.5,,6.5
2160,151.70000000000002,158.8,,7.099999999999994
2165,151.1,159.1,,8.0
2170,153.0,159.4,,6.400000000000006
2175,154.20000000000002,159.8,,5.599999999999994
2180,154.9,160.0,,5.099999999999994
2185,155.10000000000002,160.3,,5.199999999999989
2190,155.29999999999998,160.6,,5.300000000000011
2195,155.20000000000002,160.9,,5.699999999999989
2200,154.7,161.1,,6.400000000000006
2205,154.6,161.5,,6.900000000000006
2210,155.2,161.7,,6.5
2215,158.3,162.0,,3.6999999999999886
2220,158.79999999999998,162.2,,3.4000000000000057
2225,158.7,162.6,,3.9000000000000057
2230,158.0,162.8,,4.800000000000011
2235,161.0,163.1,,2.0999999999999943
2240,160.4,163.3,,2.9000000000000057
2245,159.6,163.6,,4.0
2250,159.5,163.8,,4.300000000000011
2255,160.0,164.1,,4.099999999999994
2260,159.9,164.3,,4.400000000000006
2265,160.6,164.7,,4.099999999999994
2270,159.70000000000002,164.9,,5.199999999999989
2275,160.79999999999998,165.2,,4.400000000000006
2280,162.15,165.4,,3.25
2285,161.29999999999998,165.7,,4.400000000000006
2290,160.9,166.0,,5.099999999999994
2295,161.9,166.3,,4.400000000000006
2300,162.9,166.5,,3.5999999999999943
2305,162.4,166.8,,4.400000000000006
2310,162.7,167.0,,4.300000000000011
2315,163.4,167.4,,4.0
2320,165.79999999999998,167.6,,1.8000000000000114
2325,163.1,167.9,,4.800000000000011
2330,164.4,168.1,,3.6999999999999886
2335,164.9,168.4,,3.5
2340,164.0,168.7,,4.699999999999989
2345,165.0,169.0,,4.0
2350,165.29999999999998,169.2,,3.9000000000000057
2355,166.8,169.5,,2.6999999999999886
2360,167.6,169.7,,2.0999999999999943
2365,163.0,170.0,,7.0
2370,165.89999999999998,170.2,,4.300000000000011
2375,163.6,170.5,,6.900000000000006
2380,167.60000000000002,170.8,,3.1999999999999886
2385,167.4,171.1,,3.6999999999999886
2390,164.9,171.3,,6.400000000000006
2395,162.1,171.6,,9.5
2400,168.4,171.8,,3.4000000000000057
